CORESTICKM159SFRBATL,Inflation Change
3.65186106,
3.673819411,0.0060129207106254245
4.142163975,0.12748165100268705
4.155828095,0.003298787803300396
4.088245437,-0.016262139928576613
4.545569347,0.11186312491443484
4.753076334,0.04565038417837619
4.9466066,0.04071684366094175
4.948246979,0.000331617032169218
5.182592347,0.047359270665862985
5.399387944,0.04183149715132317
5.706347843,0.056850869428840545
5.746196961,0.006983296338810341
5.749956071,0.0006541909415067604
6.125157849,0.06525298165186633
6.505620421,0.06211473751033436
6.780633974,0.04227322456629379
6.375966005,-0.05967996068681458
6.389268621,0.0020863687148846566
6.414746498,0.003987604608806095
6.834758299,0.06547597806568839
6.560106336,-0.04018459043975042
6.437390535,-0.0187063737559513
6.402163808,-0.005472205982916867
6.592370014,0.0297096749949326
7.053805927,0.0699954511078813
6.993096123,-0.008606673422587363
6.817838113,-0.025061576005452557
6.947734731,0.01905246440984243
7.151974844,0.02939664810297149
7.00787567,-0.020148165666562523
7.114872285,0.015268052693634626
7.081263039,-0.004723801728789501
7.057638255,-0.0033362387288662365
7.327620064,0.038253846293231586
7.342681298,0.002055405966528534
7.014858012,-0.044646263768698735
6.329604979,-0.09768594486556526
5.50160847,-0.1308132990521651
5.306250794,-0.03550919282338527
5.060279237,-0.04635505680925056
5.239199701,0.035357824266250226
5.165044197,-0.014153975460382995
4.913620811,-0.04867787697654813
4.672385308,-0.04909526238979456
4.376576593,-0.06331000024623823
3.953153899,-0.09674746574234128
3.677258309,-0.06979125959902333
3.728280469,0.01387505465012473
3.841502967,0.03036855701748431
4.057916253,0.05633557694971847
3.971403024,-0.021319619136063173
3.863863418,-0.027078492248234665
3.488589959,-0.09712389347195094
3.467340855,-0.0060910293986200514
3.366129082,-0.029190026949340697
3.1247262,-0.07171527773277475
3.331141241,0.06605860091037741
3.268535943,-0.018793948821337336
3.147816809,-0.03693370246043515
2.842802671,-0.09689704214296302
2.881142745,0.01348671660932177
2.929374136,0.016740368412395235
3.031703085,0.03493201764241993
3.175423207,0.04740573795339187
3.098743668,-0.024147817157399776
3.013319714,-0.027567286343221364
3.322713188,0.10267528950298432
3.944607922,0.18716473520675114
4.765238145,0.20803847663113828
4.927794502,0.034112955544638446
5.30805948,0.07716737738265356
5.845776926,0.10130207621561915
6.291538116,0.07625354091385317
6.816162733,0.08338574881487681
7.104721156,0.04233443864286923
7.728315605,0.08777184006347216
8.616369341,0.11490909292387785
9.526994824,0.10568552100789064
10.103211029,0.060482472767637185
10.593110106,0.048489443167504254
10.561468061,-0.0029870401311204997
10.985727169,0.04017046735828789
11.496042915,0.046452614210193754
11.624378564,0.011163462936672586
11.784135357,0.01374325449919156
11.573788456,-0.01785000720269636
11.698351766,0.010762535575412624
10.926931315,-0.06594266153305894
10.432971739,-0.045205699730345605
9.76743143,-0.0637920168528886
8.920589927,-0.08670053217870399
8.520421165,-0.04485900206989746
8.109587525,-0.04821752728463857
8.092959791,-0.0020503797448070404
7.685189103,-0.05038585369637849
7.691042386,0.0007616316165486303
7.373666255,-0.04126568481506743
7.334813689,-0.005269097441676918
6.847460223,-0.06644387801300022
6.965887097,0.017295007220665015
6.871017008,-0.013619240116719444
7.088593777,0.031665875480539896
7.352526572,0.037233449017260556
7.092183496,-0.035408654895780045
6.878373933,-0.030147212508050414
6.612229044,-0.03869299511664093
6.196677638,-0.06284588801065139
6.048908185,-0.023846561275647216
6.05231412,0.0005630660766922091
6.102888398,0.008356188558170885
6.580655715,0.0782854422107031
6.741041444,0.02437230208448926
6.920217354,0.026579855870709546
