DATE,GDP,GDP_standardized
1947-03-31,243.164,-0.9354963678975644
1947-06-30,245.968,-0.9351208080630812
1947-09-30,249.585,-0.9346363573065456
1947-12-31,259.745,-0.9332755556238247
1948-03-31,265.742,-0.9324723343943683
1948-06-30,272.567,-0.9315582131852571
1948-09-30,279.196,-0.9306703436621512
1948-12-31,280.366,-0.9305136371691607
1949-03-31,275.034,-0.9312277901782422
1949-06-30,271.351,-0.9317210807882285
1949-09-30,272.889,-0.9315150854153913
1949-12-31,270.627,-0.9318180513018396
1950-03-31,280.828,-0.9304517581950054
1950-06-30,290.383,-0.9291719885022498
1950-09-30,308.153,-0.9267919249292231
1950-12-31,319.945,-0.9252125377793566
1951-03-31,336.0,-0.9230621764588759
1951-06-30,344.09,-0.921978624725292
1951-09-30,351.385,-0.9210015530446376
1951-12-31,356.178,-0.9203595921720706
1952-03-31,359.82,-0.9198717929861977
1952-06-30,361.03,-0.9197097290062674
1952-09-30,367.701,-0.9188162341218745
1952-12-31,380.812,-0.9170601838401665
1953-03-31,387.98,-0.916100122180546
1953-06-30,391.749,-0.9155953129736392
1953-09-30,391.171,-0.9156727286599199
1953-12-31,385.97,-0.9163693358992734
1954-03-31,385.345,-0.9164530466327084
1954-06-30,386.121,-0.9163491113860754
1954-09-30,390.996,-0.9156961676652817
1954-12-31,399.734,-0.9145258246432724
1955-03-31,413.073,-0.9127392366860072
1955-06-30,421.532,-0.9116062621354033
1955-09-30,430.221,-0.9104424820348953
1955-12-31,437.092,-0.9095221997158033
1956-03-31,439.746,-0.9091667304573445
1956-06-30,446.01,-0.9083277480025647
1956-09-30,451.191,-0.9076338195066811
1956-12-31,460.463,-0.9063919540340248
1957-03-31,469.779,-0.9051441953257348
1957-06-30,472.025,-0.9048433724340624
1957-09-30,479.49,-0.9038435314339136
1957-12-31,474.864,-0.9044631247985069
1958-03-31,467.54,-0.9054440806571926
1958-06-30,471.978,-0.9048496674812166
1958-09-30,485.841,-0.9029928964450396
1958-12-31,499.555,-0.9011560820477134
1959-03-31,510.33,-0.8997129090032924
1959-06-30,522.653,-0.8980624012142993
1959-09-30,525.034,-0.8977434968042051
1959-12-31,528.6,-0.8972658768435177
1960-03-31,542.648,-0.8953843274302439
1960-06-30,541.08,-0.8955943409182858
1960-09-30,545.604,-0.8949884091453892
1960-12-31,540.197,-0.8957126074424829
1961-03-31,545.018,-0.895066896329058
1961-06-30,555.545,-0.893656939703664
1961-09-30,567.664,-0.8920337550980643
1961-12-31,580.612,-0.8902995365756361
1962-03-31,594.013,-0.8885046445136142
1962-06-30,600.366,-0.8876537416503931
1962-09-30,609.027,-0.886493711790743
1962-12-31,612.28,-0.8860580141653601
